id_n,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Communication,CONS_Education,CONS_Food,CONS_Health,CONS_Housing,CONS_Housing_Goods_Services,CONS_Miscellaneous,CONS_Recreation_Culture,CONS_Restaurants_Hotels,CONS_Transport,CONS_Total,CONS_Other,Year,weight
3020020710021.0,5760.0,10535.75,19200.0,0.0,206160.0,5200.0,0.0,20715.0,13000.0,21000.0,650.0,38400.0,340620.75,134460.75,2016,46.41328
3020020710027.0,0.0,23414.5,16800.0,6150.0,122640.0,3150.0,0.0,49883.0,14100.0,28000.0,4650.0,19200.0,287987.5,165347.5,2016,46.41328
3020020710032.0,0.0,5244.3,0.0,6040.0,125760.0,725.0,1844.3000000000002,25496.5,850.0,1272.15,495.0,0.0,167727.24999999997,41967.24999999997,2016,46.41328
3020020710043.0,0.0,850.0,5040.0,13500.0,108000.0,0.0,90.0,24245.0,0.0,0.0,1490.0,4800.0,158015.0,50015.0,2016,46.41328
3020020710049.0,8400.0,5134.3,0.0,0.0,49200.0,100.0,0.0,10570.0,0.0,0.0,950.0,0.0,74354.3,25154.300000000003,2016,46.41328
3020020710060.0,0.0,11552.9,0.0,32571.5,83520.0,400.0,0.0,10520.0,0.0,0.0,895.0,0.0,139459.4,55939.399999999994,2016,46.41328
3020020710065.0,0.0,3600.0,0.0,0.0,45600.0,250.0,572580.0,10200.0,0.0,960.0,0.0,0.0,633190.0,587590.0,2016,46.41328
3020020710071.0,0.0,23360.75,14400.0,53759.45,223920.0,10350.0,3777.2000000000003,17658.6,1000.0,6200.0,180.0,0.0,354606.0,130686.0,2016,46.41328
3020021320010.0,0.0,10516.45,0.0,4180.0,115920.0,500.0,0.0,14285.0,4447.15,1600.0,1310.0,0.0,152758.6,36838.600000000006,2016,98.33422
3020021320020.0,0.0,6400.0,9600.0,2700.0,77280.0,1190.0,95430.0,7250.0,4880.0,0.0,800.0,0.0,205530.0,128250.0,2016,98.33422
3020021320029.0,0.0,3000.0,4560.0,0.0,24720.0,50.0,0.0,3530.0,0.0,0.0,0.0,0.0,35860.0,11140.0,2016,98.33422
3020021320047.0,0.0,3950.0,0.0,0.0,37440.0,5600.0,0.0,8610.0,0.0,1000.0,0.0,0.0,56600.0,19160.0,2016,98.33422
3020021320057.0,0.0,8900.0,4320.0,0.0,54000.0,1600.0,20.0,6595.0,0.0,1200.0,310.0,0.0,76945.0,22945.0,2016,98.33422
3020021320075.0,0.0,3400.0,0.0,6500.0,66960.0,1000.0,0.0,8245.0,500.0,5000.0,100.0,0.0,91705.0,24745.0,2016,98.33422
3020021320085.0,0.0,4700.0,4800.0,5700.0,67200.0,1075.0,25.0,10660.0,0.0,0.0,75.0,0.0,94235.0,27035.0,2016,98.33422
3020021320094.0,0.0,1150.0,0.0,0.0,0.0,5850.0,0.0,9610.0,0.0,2400.0,1010.0,0.0,20020.0,20020.0,2016,98.33422
3020021320112.0,0.0,11351.55,0.0,0.0,47760.0,200.0,28629.000000000004,5785.0,0.0,1920.0,0.0,0.0,95645.55,47885.55,2016,98.33422
3020021320122.0,0.0,8574.35,0.0,4800.0,70320.0,625.0,124059.00000000001,20597.15,4210.75,1200.0,490.0,0.0,234876.25000000003,164556.25000000003,2016,98.33422
3020030520004.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,7420.0,1000.0,0.0,550.0,7200.0,20970.0,20970.0,2016,38.95181
3020030520011.0,0.0,11150.0,0.0,0.0,48720.0,0.0,0.0,14010.0,1700.0,0.0,350.0,14400.0,90330.0,41610.0,2016,38.95181
3020030520026.0,0.0,14000.0,5760.0,2850.0,83280.0,0.0,0.0,9930.0,2700.0,0.0,200.0,9600.0,128320.0,45040.0,2016,38.95181
3020030520034.0,0.0,18413.85,4800.0,0.0,147840.0,800.0,0.0,5205.0,1416.45,400.0,1400.0,0.0,180275.30000000002,32435.300000000017,2016,38.95181
3020030520041.0,1200.0,21275.0,0.0,6250.0,127440.0,575.0,96430.0,21080.0,1250.0,0.0,1230.0,7200.0,283930.0,156490.0,2016,38.95181
3020030520056.0,7200.0,5325.0,0.0,2075.0,147120.0,1500.0,0.0,16790.0,150.0,800.0,2970.0,38400.0,222330.0,75210.0,2016,38.95181
3020030520063.0,3600.0,9650.0,0.0,1725.0,26160.0,1295.0,14314.500000000002,6630.0,475.0,0.0,0.0,6000.0,69849.5,43689.5,2016,38.95181
3020030520078.0,0.0,10850.0,0.0,0.0,64560.0,500.0,0.0,12760.0,1600.0,0.0,225.0,7200.0,97695.0,33135.0,2016,38.95181
3020030520086.0,0.0,3160.0,10560.0,0.0,59040.0,375.0,0.0,9605.0,472.15000000000003,0.0,2450.0,19200.0,104862.15,45822.149999999994,2016,38.95181
3020030520093.0,0.0,10650.0,6000.0,0.0,80640.0,1775.0,0.0,6120.0,2350.0,0.0,0.0,38400.0,145935.0,65295.0,2016,38.95181
3020030920005.0,0.0,19809.45,0.0,2000.0,36000.0,320.0,0.0,12600.0,22200.0,0.0,0.0,19200.0,112129.45,76129.45,2016,54.249287
3020030920011.0,4800.0,3250.0,0.0,0.0,52320.0,40.0,38172.0,7135.0,0.0,480.0,500.0,0.0,106697.0,54377.0,2016,54.249287
3020030920024.0,0.0,0.0,0.0,0.0,10560.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,11760.0,1200.0,2016,54.249287
3020030920031.0,7200.0,5332.15,10560.0,0.0,85440.0,470.0,0.0,8270.0,3950.0,1440.0,0.0,38400.0,161062.15,75622.15,2016,54.249287
3020030920043.0,0.0,1400.0,0.0,1530.0,115200.0,450.0,50.0,7190.0,250.0,0.0,0.0,0.0,126070.0,10870.0,2016,54.249287
3020030920050.0,0.0,2400.0,0.0,875.0,41040.0,300.0,0.0,8820.0,0.0,0.0,0.0,0.0,53435.0,12395.0,2016,54.249287
3020030920056.0,0.0,8000.0,0.0,1400.0,82080.0,985.0,0.0,12496.32,1725.0,1200.0,360.0,28800.0,137046.32,54966.32000000001,2016,54.249287
3020030920069.0,0.0,2855.0,0.0,1500.0,57120.0,30.0,38172.0,5995.0,0.0,960.0,315.0,38400.0,145347.0,88227.0,2016,54.249287
3020030920076.0,0.0,4335.0,0.0,2680.0,58800.0,2320.0,0.0,8655.0,1150.0,0.0,50.0,4800.0,82790.0,23990.0,2016,54.249287
3020030920088.0,0.0,4650.0,0.0,0.0,4320.0,0.0,0.0,7060.0,100.0,0.0,0.0,0.0,16130.0,11810.0,2016,54.249287
3020031320003.0,0.0,4625.0,0.0,710.0,52560.0,650.0,0.0,5660.0,0.0,0.0,50.0,0.0,64255.0,11695.0,2016,39.18004
3020031320008.0,0.0,7550.0,0.0,1700.0,55920.0,400.0,0.0,9070.0,0.0,0.0,180.0,0.0,74820.0,18900.0,2016,39.18004
3020031320017.0,0.0,6350.0,0.0,650.0,54720.0,0.0,190860.0,9125.0,24850.0,2500.0,0.0,24000.0,313055.0,258335.0,2016,39.18004
3020031320022.0,1920.0,9450.0,2760.0,550.0,73200.0,0.0,264543.25,18580.0,44500.0,8600.0,0.0,76800.0,500903.25,427703.25,2016,39.18004
3020031320026.0,0.0,15144.3,0.0,11038.6,108000.0,1800.0,0.0,7900.75,1900.0,1980.0,700.0,0.0,148463.65,40463.649999999994,2016,39.18004
3020031320036.0,0.0,10210.1,0.0,750.0,17520.0,450.0,0.0,18870.0,2950.0,800.0,400.0,3600.0,55550.1,38030.1,2016,39.18004
3020031320040.0,0.0,720.0,0.0,7740.0,39600.0,0.0,143145.0,7420.0,0.0,0.0,0.0,0.0,198625.0,159025.0,2016,39.18004
3020031320050.0,0.0,4638.6,0.0,3700.0,90000.0,35398.05,14314.500000000002,26819.4,0.0,0.0,200.0,0.0,175070.55000000002,85070.55000000002,2016,39.18004
3020031320054.0,0.0,4550.0,0.0,1600.0,62160.0,160.0,0.0,6840.0,0.0,1000.0,455.0,0.0,76765.0,14605.0,2016,39.18004
3020031320059.0,0.0,5750.0,24000.0,13272.15,124800.0,4475.0,190860.0,17250.0,0.0,3000.0,965.0,0.0,384372.15,259572.15000000002,2016,39.18004
3020031820003.0,0.0,7700.0,0.0,0.0,60240.0,3725.0,57258.00000000001,8280.0,7400.0,0.0,715.0,0.0,145318.0,85078.0,2016,40.371567
3020031820010.0,0.0,8000.0,0.0,0.0,53280.0,525.0,305376.0,6480.0,1000.0,0.0,1250.0,0.0,375911.0,322631.0,2016,40.371567
3020031820013.0,0.0,5825.0,0.0,5500.0,95280.0,4790.0,0.0,9530.0,0.0,3832.9,50.0,9600.0,134407.9,39127.899999999994,2016,40.371567
3020031820016.0,0.0,1150.0,0.0,0.0,43200.0,0.0,0.0,9120.0,700.0,0.0,0.0,4800.0,58970.0,15770.0,2016,40.371567
3020031820022.0,0.0,3300.0,0.0,0.0,93360.0,300.0,0.0,7290.0,0.0,500.0,0.0,0.0,104750.0,11390.0,2016,40.371567
3020031820026.0,0.0,5400.0,0.0,0.0,33600.0,450.0,0.0,8130.0,0.0,0.0,1210.0,0.0,48790.0,15190.0,2016,40.371567
3020031820032.0,0.0,7500.0,0.0,0.0,18720.0,1900.0,50.0,13120.0,0.0,2600.0,0.0,9600.0,53490.0,34770.0,2016,40.371567
3020031820035.0,0.0,4500.0,0.0,0.0,0.0,600.0,190860.0,54790.0,0.0,5000.0,1400.0,19200.0,276350.0,276350.0,2016,40.371567
3020031820039.0,0.0,3000.0,0.0,0.0,50160.0,8082.250000000001,19086.0,8330.0,11143.0,0.0,320.0,14400.0,114521.25,64361.25,2016,40.371567
3020031820045.0,2880.0,5200.0,0.0,0.0,49440.0,150.0,291111.5,5200.0,0.0,0.0,320.0,0.0,354301.5,304861.5,2016,40.371567
3020040120004.0,0.0,6150.0,4800.0,2510.0,121680.0,0.0,0.0,11120.0,3300.0,0.0,200.0,9600.0,159360.0,37680.0,2016,39.47442
3020040120011.0,0.0,3750.0,0.0,0.0,23520.0,0.0,0.0,6160.0,1300.0,0.0,740.0,1920.0,37390.0,13870.0,2016,39.47442
3020040120017.0,6720.0,0.0,0.0,0.0,61680.0,250.0,95430.0,5255.0,0.0,300.0,0.0,0.0,169635.0,107955.0,2016,39.47442
3020040120029.0,12480.0,23800.0,4800.0,1250.0,128400.0,11100.0,0.0,14180.0,4100.0,0.0,2300.0,38400.0,240810.0,112410.0,2016,39.47442
3020040120035.0,3600.0,8882.9,4800.0,14824.400000000001,110880.0,0.0,0.0,9960.0,350.0,480.0,600.0,9600.0,163977.3,53097.29999999999,2016,39.47442
3020040120047.0,0.0,38300.0,4800.0,23675.0,200160.0,21300.0,0.0,59490.0,5700.0,0.0,2375.0,14400.0,370200.0,170040.0,2016,39.47442
3020040120054.0,0.0,16808.6,5280.0,22488.6,129360.0,10778.0,0.0,7070.0,0.0,0.0,250.0,12000.0,204035.2,74675.20000000001,2016,39.47442
3020040120060.0,0.0,2220.0,0.0,2450.0,26640.0,125.0,0.0,1620.0,0.0,0.0,0.0,0.0,33055.0,6415.0,2016,39.47442
