,weight_2016,vatax_2016,CONS_Total_2016,weight_2017,vatax_2017,CONS_Total_2017,weight_2018,vatax_2018,CONS_Total_2018,weight_2019,vatax_2019,CONS_Total_2019,weight_2020,vatax_2020,CONS_Total_2020,weight_2021,vatax_2021,CONS_Total_2021,weight_2022,vatax_2022,CONS_Total_2022,weight_2023,vatax_2023,CONS_Total_2023,weight_2024,vatax_2024,CONS_Total_2024,weight_2025,vatax_2025,CONS_Total_2025,weight_ref_2025,vatax_ref_2025,CONS_Total_ref_2025,weight_ref_2026,vatax_ref_2026,CONS_Total_ref_2026,weight_ref_2027,vatax_ref_2027,CONS_Total_ref_2027,weight_ref_2028,vatax_ref_2028,CONS_Total_ref_2028,weight_ref_2029,vatax_ref_2029,CONS_Total_ref_2029,weight_ref_2030,vatax_ref_2030,CONS_Total_ref_2030,ETR,ETR_ref
10,"9,133.0281",14.0000,383.0000,"9,004.8060",16.0000,442.0000,"9,133.0281",15.0000,425.0000,"9,004.8060",17.0000,459.0000,"9,133.0281",16.0000,450.0000,"9,133.0281",23.0000,632.0000,"9,133.0281",20.0000,541.0000,"9,133.0281",21.0000,584.0000,"9,133.0281",23.0000,651.0000,"9,004.8060",25.0000,686.0000,"9,004.8060",91.0000,686.0000,"9,133.0281",99.0000,745.0000,"9,133.0281",106.0000,797.0000,"9,133.0281",114.0000,854.0000,"9,004.8060",120.0000,902.0000,"9,004.8060",129.0000,967.0000,0.0364,0.1327
11,"9,080.7925",17.0000,400.0000,"9,080.7925",20.0000,469.0000,"9,080.7925",19.0000,444.0000,"9,080.7925",21.0000,486.0000,"9,080.7925",20.0000,470.0000,"9,080.7925",29.0000,660.0000,"9,080.7925",25.0000,565.0000,"9,080.7925",27.0000,610.0000,"9,080.7925",30.0000,680.0000,"9,080.7925",32.0000,727.0000,"9,080.7925",97.0000,727.0000,"9,080.7925",103.0000,778.0000,"9,080.7925",111.0000,833.0000,"9,080.7925",119.0000,892.0000,"9,080.7925",127.0000,956.0000,"9,080.7925",136.0000,"1,024.0000",0.0440,0.1334
12,"9,036.9161",18.0000,420.0000,"9,036.9161",21.0000,492.0000,"9,036.9161",20.0000,466.0000,"9,036.9161",21.0000,510.0000,"9,036.9161",21.0000,494.0000,"9,036.9161",29.0000,693.0000,"9,036.9161",25.0000,593.0000,"9,036.9161",27.0000,640.0000,"9,036.9161",30.0000,713.0000,"9,036.9161",32.0000,763.0000,"9,036.9161",104.0000,763.0000,"9,036.9161",111.0000,817.0000,"9,036.9161",119.0000,874.0000,"9,036.9161",127.0000,936.0000,"9,036.9161",137.0000,"1,003.0000","9,036.9161",146.0000,"1,075.0000",0.0419,0.1363
13,"8,538.1473",19.0000,418.0000,"8,538.1473",22.0000,489.0000,"8,538.1473",21.0000,464.0000,"8,538.1473",23.0000,508.0000,"8,538.1473",22.0000,491.0000,"8,538.1473",31.0000,689.0000,"8,538.1473",26.0000,590.0000,"8,538.1473",28.0000,637.0000,"8,538.1473",32.0000,710.0000,"8,538.1473",34.0000,759.0000,"8,538.1473",101.0000,759.0000,"8,538.1473",108.0000,813.0000,"8,538.1473",115.0000,870.0000,"8,538.1473",124.0000,932.0000,"8,538.1473",132.0000,998.0000,"8,538.1473",142.0000,"1,070.0000",0.0448,0.1331
14,"9,512.4321",21.0000,486.0000,"9,512.4321",24.0000,569.0000,"9,512.4321",23.0000,540.0000,"9,512.4321",25.0000,591.0000,"9,512.4321",24.0000,571.0000,"9,512.4321",34.0000,802.0000,"9,512.4321",29.0000,686.0000,"9,512.4321",32.0000,741.0000,"9,512.4321",35.0000,826.0000,"9,512.4321",38.0000,883.0000,"9,512.4321",122.0000,883.0000,"9,512.4321",130.0000,945.0000,"9,512.4321",139.0000,"1,012.0000","9,512.4321",149.0000,"1,084.0000","9,512.4321",160.0000,"1,161.0000","9,512.4321",171.0000,"1,244.0000",0.0430,0.1382
15,"8,963.8695",26.0000,485.0000,"8,963.8695",31.0000,567.0000,"8,963.8695",29.0000,538.0000,"8,963.8695",32.0000,589.0000,"8,963.8695",31.0000,569.0000,"8,963.8695",43.0000,799.0000,"8,963.8695",37.0000,684.0000,"8,963.8695",40.0000,739.0000,"8,963.8695",44.0000,823.0000,"8,963.8695",47.0000,880.0000,"8,963.8695",119.0000,880.0000,"8,963.8695",128.0000,942.0000,"8,963.8695",137.0000,"1,009.0000","8,963.8695",147.0000,"1,080.0000","8,963.8695",157.0000,"1,157.0000","8,963.8695",168.0000,"1,240.0000",0.0534,0.1352
16,"9,126.7498",29.0000,512.0000,"9,126.7498",34.0000,599.0000,"9,126.7498",33.0000,568.0000,"9,126.7498",36.0000,622.0000,"9,126.7498",34.0000,601.0000,"9,126.7498",48.0000,844.0000,"9,126.7498",41.0000,722.0000,"9,126.7498",45.0000,780.0000,"9,126.7498",50.0000,869.0000,"9,126.7498",53.0000,929.0000,"9,126.7498",127.0000,929.0000,"9,126.7498",136.0000,995.0000,"9,126.7498",146.0000,"1,066.0000","9,126.7498",156.0000,"1,141.0000","9,126.7498",167.0000,"1,222.0000","9,126.7498",179.0000,"1,310.0000",0.0571,0.1367
17,"9,007.5775",31.0000,524.0000,"9,007.5775",37.0000,614.0000,"9,007.5775",35.0000,582.0000,"9,007.5775",38.0000,637.0000,"9,007.5775",37.0000,616.0000,"9,007.5775",52.0000,864.0000,"9,007.5775",44.0000,739.0000,"9,007.5775",48.0000,799.0000,"9,007.5775",53.0000,890.0000,"9,007.5775",57.0000,951.0000,"9,007.5775",133.0000,951.0000,"9,007.5775",143.0000,"1,019.0000","9,007.5775",153.0000,"1,091.0000","9,007.5775",164.0000,"1,168.0000","9,007.5775",175.0000,"1,251.0000","9,007.5775",188.0000,"1,341.0000",0.0599,0.1399
18,"8,941.0791",22.0000,545.0000,"8,941.0791",26.0000,638.0000,"8,941.0791",25.0000,605.0000,"8,941.0791",27.0000,662.0000,"8,941.0791",26.0000,640.0000,"8,941.0791",37.0000,899.0000,"8,941.0791",32.0000,769.0000,"8,941.0791",34.0000,831.0000,"8,941.0791",38.0000,926.0000,"8,941.0791",41.0000,989.0000,"8,941.0791",130.0000,989.0000,"8,941.0791",139.0000,"1,059.0000","8,941.0791",149.0000,"1,134.0000","8,941.0791",160.0000,"1,215.0000","8,941.0791",171.0000,"1,302.0000","8,941.0791",183.0000,"1,394.0000",0.0415,0.1314
19,"9,104.4666",26.0000,577.0000,"9,104.4666",30.0000,675.0000,"9,104.4666",29.0000,640.0000,"9,104.4666",31.0000,701.0000,"9,104.4666",30.0000,678.0000,"9,104.4666",43.0000,951.0000,"9,104.4666",37.0000,814.0000,"9,104.4666",39.0000,880.0000,"9,104.4666",44.0000,980.0000,"9,104.4666",47.0000,"1,047.0000","9,104.4666",140.0000,"1,047.0000","9,104.4666",150.0000,"1,121.0000","9,104.4666",161.0000,"1,201.0000","9,104.4666",172.0000,"1,286.0000","9,104.4666",185.0000,"1,378.0000","9,104.4666",198.0000,"1,476.0000",0.0449,0.1337
